rank,lemma,pos,freq,ipm,ARF,total_freq,source_tags,rows
83,zmiana,noun,40654.0,497.81,18429.48,40654.0,subst,1
84,mężczyzna,noun,46299.0,566.94,18364.67,46299.0,subst,1
85,temat,noun,35160.0,430.54,18335.84,35160.0,subst,1
86,godzina,noun,37242.0,456.03,18334.28,37242.0,subst,1
87,głos,noun,39370.0,482.09,18241.63,39370.0,subst,1
88,cel,noun,36415.0,445.91,18024.6,36415.0,subst,1
89,siła,noun,33981.0,416.1,17811.69,33981.0,subst,1
90,czekać,verb,34035.0,416.77,17708.06,34035.0,fin;imps;impt;inf;pcon;praet,6
91,znać,verb,33745.0,413.21,17689.62,33745.0,fin;imps;impt;inf;pcon;praet,6
92,powód,noun,31818.0,389.62,17616.58,31818.0,subst,1
93,udać,verb,31360.0,384.01,17561.28,31360.0,fin;imps;impt;inf;pant;praet,6
94,pomoc,noun,34094.0,417.49,17371.95,34094.0,subst,1
95,moment,noun,31787.0,389.24,17250.5,31787.0,subst,1
96,miesiąc,noun,33596.0,411.39,17123.39,33596.0,subst,1
97,wyglądać,verb,33695.0,412.6,17116.56,33695.0,fin;impt;inf;pcon;praet,5
98,zły,adjective,31208.0,382.15,17075.27,31208.0,adj,1
99,państwo,noun,49902.0,611.06,17010.04,49902.0,subst,1
100,pytanie,noun,32932.0,403.26,17008.6,32932.0,subst,1
101,pisać,verb,36967.0,452.65,16956.66,36967.0,fin;imps;impt;inf;pcon;praet,6
102,wiek,noun,35423.0,433.76,16719.17,35423.0,subst,1
103,okazać,verb,29840.0,365.4,16671.43,29840.0,fin;imps;impt;inf;pant;praet,6
104,prawda,noun,32564.0,398.75,16603.29,32564.0,subst,1
105,przykład,noun,33663.0,412.21,16555.12,33663.0,subst,1
106,związek,noun,34422.0,421.5,16453.78,34422.0,subst,1
107,żyć,verb,30906.0,378.46,16299.51,30906.0,fin;impt;inf;pcon;praet,5
108,długi,adjective,27860.0,341.15,15912.38,27860.0,adj,1
109,władza,noun,40386.0,494.53,15668.68,40386.0,subst,1
110,grupa,noun,35178.0,430.76,15590.06,35178.0,subst,1
111,prowadzić,verb,28144.0,344.63,15589.32,28144.0,fin;imps;impt;inf;pcon;praet,6
112,wziąć,verb,28041.0,343.36,15557.09,28041.0,fin;imps;impt;inf;pant;praet,6
113,pani,noun,53214.0,651.61,15525.14,53214.0,depr;subst,2
114,dawać,verb,27862.0,341.17,15487.97,27862.0,fin;imps;impt;inf;pcon;praet,6
